WARNING 2019-04-20 08:02:28,100 basehttp 124 "GET /staic/js/host.js HTTP/1.1" 404 2322
WARNING 2019-04-20 08:02:28,100 basehttp 124 "GET /staic/js/vue-2.5.16.js HTTP/1.1" 404 2340
WARNING 2019-04-20 08:02:28,105 base 152 Not Found: /staic/js/axios-0.18.0.min.js
WARNING 2019-04-20 08:02:28,109 base 152 Not Found: /staic/js/jquery-1.12.4.min.js
WARNING 2019-04-20 08:02:28,114 basehttp 124 "GET /staic/js/jquery-1.12.4.min.js HTTP/1.1" 404 2361
WARNING 2019-04-20 08:02:28,113 base 152 Not Found: /staic/images/logo.png
WARNING 2019-04-20 08:02:28,114 basehttp 124 "GET /staic/images/logo.png HTTP/1.1" 404 2337
WARNING 2019-04-20 08:02:28,120 base 152 Not Found: /staic/images/goods/goods001.jpg
WARNING 2019-04-20 08:02:28,121 basehttp 124 "GET /staic/js/axios-0.18.0.min.js HTTP/1.1" 404 2358
WARNING 2019-04-20 08:02:28,122 basehttp 124 "GET /staic/images/goods/goods001.jpg HTTP/1.1" 404 2367
WARNING 2019-04-20 08:02:28,137 base 152 Not Found: /staic/js/vue-2.5.16.js
WARNING 2019-04-20 08:02:28,138 basehttp 124 "GET /staic/js/vue-2.5.16.js HTTP/1.1" 404 2340
WARNING 2019-04-20 08:02:28,147 base 152 Not Found: /staic/js/slide.js
WARNING 2019-04-20 08:02:28,147 basehttp 124 "GET /staic/js/slide.js HTTP/1.1" 404 2325
WARNING 2019-04-20 08:02:28,168 base 152 Not Found: /staic/js/axios-0.18.0.min.js
WARNING 2019-04-20 08:02:28,169 basehttp 124 "GET /staic/js/axios-0.18.0.min.js HTTP/1.1" 404 2358
WARNING 2019-04-20 08:02:28,175 base 152 Not Found: /staic/js/index.js
WARNING 2019-04-20 08:02:28,175 basehttp 124 "GET /staic/js/index.js HTTP/1.1" 404 2325
WARNING 2019-04-20 08:02:28,183 base 152 Not Found: /staic/js/common.js
WARNING 2019-04-20 08:02:28,185 basehttp 124 "GET /staic/js/common.js HTTP/1.1" 404 2328
WARNING 2019-04-20 08:02:28,197 base 152 Not Found: /staic/js/jquery-1.12.4.min.js
WARNING 2019-04-20 08:02:28,198 basehttp 124 "GET /staic/js/jquery-1.12.4.min.js HTTP/1.1" 404 2361
WARNING 2019-04-20 08:02:28,207 base 152 Not Found: /staic/images/goods/goods002.jpg
WARNING 2019-04-20 08:02:28,207 basehttp 124 "GET /staic/images/goods/goods002.jpg HTTP/1.1" 404 2367
WARNING 2019-04-20 08:02:28,218 base 152 Not Found: /staic/images/slide01.jpg
WARNING 2019-04-20 08:02:28,222 basehttp 124 "GET /staic/images/slide01.jpg HTTP/1.1" 404 2346
WARNING 2019-04-20 08:02:28,244 base 152 Not Found: /staic/images/slide03.jpg
WARNING 2019-04-20 08:02:28,245 basehttp 124 "GET /staic/images/slide03.jpg HTTP/1.1" 404 2346
WARNING 2019-04-20 08:02:28,245 base 152 Not Found: /staic/images/slide02.jpg
WARNING 2019-04-20 08:02:28,246 basehttp 124 "GET /staic/images/slide02.jpg HTTP/1.1" 404 2346
WARNING 2019-04-20 08:02:28,270 base 152 Not Found: /staic/images/adv01.jpg
WARNING 2019-04-20 08:02:28,272 base 152 Not Found: /staic/images/slide04.jpg
WARNING 2019-04-20 08:02:28,280 basehttp 124 "GET /staic/images/slide04.jpg HTTP/1.1" 404 2346
WARNING 2019-04-20 08:02:28,280 basehttp 124 "GET /staic/images/adv01.jpg HTTP/1.1" 404 2340
